id,title,category,subcategory,problem_text,solution_text,source,created_at,hint_text
11,Designing Calendar Dice for Month Days,brain_teasers,Thinking Out of the Box,"You have two custom dice. Instead of the usual 1–6, you need to place single-digit numbers on their faces so that you can arrange them each morning to display the current day of the month as two digits. Both dice must be used (so days 1–9 must appear as 01–09), and you may swap their order. What single-digit numbers should you place on each die to make this possible?","Since the calendar includes the 11th and 22nd, both dice must have the digits 1 and 2. To represent single-digit days (01–09), at least one die must include a 0. Let’s place 0 on the first die. However, the second die also needs a 0 to cover all single-digit days, because the first die cannot hold all required digits alone.

So far, the assignments are:

Dice one: 1, 2, 0, 3, 4, 5
Dice two: 1, 2, 0, 6, 7, 8

But we still have seven digits left to assign (3, 4, 5, 6, 7, 8, 9), and only six faces remain. To solve this, we exploit the fact that 6 and 9 can be used interchangeably since they will never be needed simultaneously. By treating 6 as 9, we can assign the digits 3, 4, and 5 to the first die and 6, 7, and 8 (with 6 also serving as 9) to the second die. The final configuration is:

Dice one: 1, 2, 0, 3, 4, 5
Dice two: 1, 2, 0, 6, 7, 8

Valid Answers: Dice one: {1, 2, 0, 3, 4, 5}, Dice two: {1, 2, 0, 6, 7, 8}",green_book,2026-05-03 19:56:08.862229+00,"Consider the constraints imposed by days like the 11th and 22nd, which require both dice to have the digits 1 and 2. Think about how to handle single-digit days (01–09) and whether a 0 is necessary on one or both dice. Also, explore how to maximize the utility of each die's faces by reusing digits like 6 and 9."
12,Selecting the Correct Door with One Question,brain_teasers,Thinking Out of the Box,"You encounter two doors: one leads to your desired job offer, and the other leads to an exit. Each door has a guard stationed in front of it. One guard consistently tells the truth, while the other consistently lies. You are permitted to ask only one guard a single yes-or-no question. Which question should you pose to ensure you select the door with the job offer?","This is a classic logic puzzle. A commonly accepted solution is to ask one guard the following question: ""Would the other guard say that you are guarding the door to the job offer?"" If the answer is ""yes,"" choose the opposite door; if the answer is ""no,"" choose the door the guard is standing in front of.

There are two possible scenarios:
1. The truth-telling guard is at the job offer door, and the lying guard is at the exit door.
2. The truth-telling guard is at the exit door, and the lying guard is at the job offer door.

A direct question like ""Are you guarding the door to the job offer?"" would yield identical responses from both guards in each scenario (both ""yes"" in scenario 1, both ""no"" in scenario 2), making it unhelpful. The key is to construct a question that accounts for both guards' responses.

For scenario 1:
- If you ask the truth-teller, he will respond ""no"" because the liar would deny guarding the job offer door.
- If you ask the liar, he will respond ""yes"" because the truth-teller would affirm guarding the job offer door.

For scenario 2:
- If you ask the truth-teller, he will respond ""yes"" because the liar would claim to guard the job offer door.
- If you ask the liar, he will respond ""no"" because the truth-teller would deny guarding the job offer door.

Thus, if the answer is ""no,"" select that door; if the answer is ""yes,"" select the other door.

Valid Answers: Ask one guard: ""Would the other guard say that you are guarding the door to the job offer?""",green_book,2026-05-03 19:56:08.862229+00,Focus on framing a question that accounts for both guards' behaviors simultaneously. Consider how their responses would interact—what happens if you ask one guard about the other's answer?
13,Secure document transmission with padlocks,brain_teasers,Thinking Out of the Box,"You must send a confidential document to a coworker in Greenwich using an untrusted messenger service. The only secure containers available are padlock boxes that cannot be opened without the unique key held by the person who applied the lock. If a box is unlocked during transit, its contents are lost. How can you ensure the document reaches your colleague without it being intercepted?","Sending the document in an unlocked box is impossible because it would be lost. Instead, place the document in a locked box using your padlock. Since you hold the key, your colleague cannot open it. To retrieve the document, your colleague must first add their own padlock to the box. Then, return the box to you. You remove your padlock and send the box back to your colleague, who can now unlock their own padlock to access the document.


Last ball
A bag contains 20 blue balls and 14 red balls. In each step, you randomly draw two balls. If both are the same color, you add a blue ball to the bag; if they are different colors, you add a red ball. You do not return the drawn balls to the bag. This process repeats indefinitely. What color will the last remaining ball be? What if the bag initially contains 20 blue balls and 13 red balls instead?",green_book,2026-05-03 19:56:08.862229+00,Focus on the parity (odd/even) of the red balls. Notice how the operations affect the count of red balls and whether the parity changes. This invariant can help determine the final outcome.
14,Determining the Last Remaining Ball's Color,brain_teasers,Thinking Out of the Box,"A bag contains 20 blue balls and 14 red balls. You repeatedly draw two balls at random without replacement. If both balls are the same color, you add one blue ball to the bag. If the balls are different colors, you add one red ball. You have an infinite supply of blue and red balls. After continuing this process until only one ball remains, what color will it be? How would the result change if the bag initially held 20 blue balls and 13 red balls instead?","Let’s denote the number of blue balls as $B$ and red balls as $R$. We analyze how the counts change after each draw:

1. **Both balls are blue**: $(B, R) 
ightarrow (B-1, R)$. A blue ball is added, so the new count becomes $(B-1+1, R) = (B, R)$.
2. **Both balls are red**: $(B, R) 
ightarrow (B+1, R-2)$. Two red balls are removed and one blue ball is added, so the new count is $(B+1, R-2)$.
3. **One red and one blue**: $(B, R) 
ightarrow (B-1, R)$. A red ball is added, so the new count becomes $(B-1, R+1)$.

Key observations:
- The parity (odd/even nature) of $R$ never changes in the first two cases. In the third case, $R$ increases by 1, flipping its parity.
- Starting with an even number of red balls (e.g., 14), $R$ remains even throughout the process. Since the total number of balls decreases by 1 each step, the last ball must be blue (as $R$ cannot become odd).
- Starting with an odd number of red balls (e.g., 13), $R$ remains odd, so the last ball must be red.

Thus, the last ball’s color matches the parity of the initial red ball count.

Valid Answers: blue (for 20 blue, 14 red); red (for 20 blue, 13 red)",green_book,2026-05-03 19:56:08.862229+00,"Focus on how the parity (odd or even) of the number of red balls changes—or doesn't change—with each operation. Consider whether the parity of red balls can flip during the process, and how that might influence the final outcome."
15,Identifying the Correct Switch for a Light Bulb,brain_teasers,Thinking Out of the Box,"There are four switches outside a room, all initially turned off. Only one of these switches controls a light bulb inside the room. You are allowed to toggle the switches any number of times. What is the minimum number of times you must enter the room to determine which switch controls the light bulb?","This problem is a variation of the classic light bulb puzzle, which typically involves three switches. The key insight is that a light bulb provides two binary states: whether it is on or off, and whether it is hot or cold. By leveraging both states, we can distinguish between four switches.

Here’s the step-by-step approach:
1. Turn on switches 1 and 2, then wait for a few minutes. This allows the bulb to heat up if it is controlled by either switch 1 or 2.
2. After waiting, turn off switch 2 and turn on switch 3.
3. Immediately enter the room and observe the bulb.

The observations will reveal which switch controls the bulb:
- If the bulb is **on and hot**, it is controlled by switch 1 (since it was left on long enough to heat up).
- If the bulb is **off and hot**, it is controlled by switch 2 (it was on long enough to heat up but is now off).
- If the bulb is **on and cold**, it is controlled by switch 3 (it was just turned on and hasn’t had time to heat up).
- If the bulb is **off and cold**, it is controlled by switch 4 (it was never turned on).

This method ensures that you can identify the correct switch in a single entry into the room.


Quant salary
Eight quants from different banks are meeting for drinks. Each quant wants to know the average salary of the group but prefers not to disclose their own salary. Can you devise a method for the quants to calculate the average salary without revealing individual salaries to one another?",green_book,2026-05-03 19:56:08.862229+00,"Consider using a method where each quant adds a random number to their salary before sharing it, and then subtracts the average of those random numbers at the end. This way, individual salaries remain hidden while the total sum (and thus the average) can still be calculated."
16,Calculating Group Average Salary Anonymously,brain_teasers,Thinking Out of the Box,A group of eight quants from various financial institutions meet for drinks. Each quant wants to know the average salary of the group but refuses to disclose their individual salary. How can they determine the average salary without any quant learning another's salary?,"One possible method involves a sequential approach where each quant contributes to a running total without revealing their salary. The first quant selects a random number, adds their salary to it, and passes the result to the second quant. The second quant adds their salary to this new total and passes it to the third quant, and so on until the eighth quant adds their salary and returns the total to the first quant. The first quant then subtracts the original random number from the final total and divides the remaining sum by eight to obtain the average salary.

This technique isn't just theoretical—it has practical applications. For instance, a third-party data provider collecting fund holding data from multiple firms can use a similar approach to anonymize the information. By adding unique random identifiers to each fund's positions before distributing the data, the provider ensures that participants cannot reverse-engineer the holdings of other funds. This maintains confidentiality while allowing the sharing of aggregated market information.


2.4 Application of Symmetry
Coin piles
Suppose you are blindfolded in a room with 1000 coins scattered on the floor. Among these, 980 coins show tails and 20 show heads. How can you divide the coins into two piles such that each pile has the same number of heads? Assume you cannot determine a coin's orientation by touch but are allowed to flip any number of coins.",green_book,2026-05-03 19:56:08.862229+00,"Consider dividing the coins into two piles of unequal size and flipping all the coins in one pile. Think about how the number of heads in each pile changes after flipping, and how this relates to the original distribution."
17,Separating Coin Piles with Equal Heads,brain_teasers,Application of Symmetry,"You are blindfolded in a room with 1000 coins on the floor. Among these, 980 coins show tails and 20 show heads. Without being able to distinguish coin sides by touch, can you divide the coins into two groups such that each group contains the same number of heads? You are permitted to flip any number of coins.","Divide the 1000 coins into two piles: one with 20 coins and the other with 980 coins. Let $m$ represent the number of heads in the smaller pile (20 coins). Consequently, the larger pile (980 coins) must contain $20 - m$ heads, since there are only 20 heads in total. The smaller pile also contains $20 - m$ tails, as it has 20 coins in total.

Now, flip all 20 coins in the smaller pile. After flipping, the $m$ heads become tails, and the $20 - m$ tails become heads. Thus, the smaller pile now contains exactly $20 - m$ heads, matching the number of heads in the larger pile. This guarantees both piles have an equal number of heads.

Valid Answers: Yes",green_book,2026-05-03 19:56:08.862229+00,Consider dividing the coins into two groups where one group's size matches the number of heads you know exist. Think about how flipping coins in one group could balance the number of heads between both groups.
18,Identifying Mislabelled Fruit Bags with Minimal Sampling,brain_teasers,Application of Symmetry,"You have three bags of fruits: one contains only apples, one contains only oranges, and one contains a mix of both. Each bag is incorrectly labelled (e.g., the bag labelled 'apples' does not contain only apples). What is the most efficient way to correctly relabel all the bags by drawing the fewest possible fruits from any bag? You may inspect as many fruits as needed from any single bag.","The critical insight is that all labels are incorrect. This means the bag labelled 'mix' cannot actually contain a mix—it must contain only apples or only oranges. Similarly, the bag labelled 'apples' cannot contain only apples, and the bag labelled 'oranges' cannot contain only oranges.

To resolve this, start by selecting a fruit from the bag labelled 'mix'. Suppose you draw an orange from it. Since the label is wrong, this bag cannot be the mix—it must contain only oranges. Now, consider the bag labelled 'apples'. It cannot contain only apples (label is wrong), and it cannot contain only oranges (we’ve already identified the oranges-only bag). Therefore, it must be the mix. The remaining bag, labelled 'oranges', must then contain only apples.

If instead you had drawn an apple from the bag labelled 'mix', the logic would mirror: that bag must be the apples-only bag. The bag labelled 'oranges' cannot contain only oranges and cannot be the apples-only bag, so it must be the mix. The remaining bag, labelled 'apples', must then contain only oranges.

Thus, by drawing just one fruit from the bag labelled 'mix', you can correctly relabel all three bags.

Valid Answers: Pick one fruit from the bag labelled 'mix'.",green_book,2026-05-03 19:56:08.862229+00,"Since all labels are incorrect, the bag labelled 'mix' cannot actually contain a mix. Focus on this bag first—what can you deduce about its contents based on a single fruit drawn from it?"
19,Rescue Strategy for Captive Wise Men Using a Glass,brain_teasers,Application of Symmetry,"A sultan imprisons 50 wise men and presents them with a glass that starts upside down. Each minute, he randomly selects one wise man who may flip the glass (changing its state) or leave it unchanged. The selected man can then attempt to declare that every wise man has been called at least once. If correct, all are freed; if incorrect, all are executed. The wise men may coordinate a single strategy before being isolated. Devise a plan that guarantees their safe release.","The solution relies on symmetry and designating one wise man as the spokesperson. The 49 other men are indistinguishable in their role, while the spokesperson operates differently. Here’s the strategy:

1. Each of the 49 equivalent wise men flips the glass from upside down to bottom down the first time they observe it in the upside-down state. If the glass is already bottom down or they have already flipped it once, they take no action.

2. The spokesperson flips the glass from bottom down to upside down every time they see it in the bottom-down state. If the glass is already upside down, they do nothing.

3. Once the spokesperson has flipped the glass 49 times, they can confidently declare that all 49 other wise men have been called at least once, as each flip corresponds to one of them having acted. This ensures their freedom without risk of error.


2.5 Series Summation
Here is a famous story about the legendary mathematician/physicist Gauss: When he
was a child, his teacher gave the children a boring assignment to add the numbers from 1
to 100. To the amazement of the teacher, Gauss turned in his answer in less than a
minute. Here is his approach:
:Ln= 1 + 2+ ··· + 99+ 100
n=I
+     +          +    +
:Ln = 100+ 99+···+ 2 + 1
! !         ! ! 101x100 :Ln =100xl01
2Ln = 101+101+···+101+101=           ---

n=I                                   2        n =I

This approach can be generalized to any integer N:             f =
n=I
n   N ( N + 1)
The summation formula for consecutive squares may not be as intuitive:

fn =   2   N(N +1)(2N +1) = N 3 + N 2 + N.
n=I              6                3   2         6
N
But if we correctly guess that             L n = aN + bN + cN + d and apply the initial
2         3         2
n=I

conditions

N=l        l=a+b+c+d
N=2         5 = 8a + 4b + 2c + d

we will have the solution that a= 1/3, b = 112, c = 116, d = 0. We can then easily show
that the same equation applies to all N by induction.

Clock pieces
A clock (numbered 1 - 12 clockwise) fell off the wall and broke into three pieces. You
find that the sums of the numbers on each piece are equal. What are the numbers on each
piece? (No strange-shaped piece is allowed.)",green_book,2026-05-03 19:56:08.862229+00,"Consider using one of the wise men as a counter or tracker, while the others follow a consistent rule to signal their presence. Think about how the glass's state can be used to encode information about the number of unique interactions."
20,Equal-Sum Clock Fragments,brain_teasers,Series Summation,"A clock face numbered 1 through 12 in clockwise order detached from the wall and shattered into three fragments. Upon inspection, you notice that the total of the numbers on each fragment is identical. What numbers belong to each fragment? (Assume no fragment has an irregular shape.)","The sum of all numbers on the clock face can be calculated using the formula for the sum of the first n integers: $\sum_{n=1}^{12} n = \frac{12 \cdot 13}{2} = 78$. Since the clock broke into three pieces with equal sums, each piece must sum to $\frac{78}{3} = 26$.

Some candidates incorrectly assume that the numbers on each piece must form a continuous sequence due to the ""no irregular shape"" constraint. For example, they might consider 5, 6, 7, and 8, which sum to 26. However, this approach overlooks the circular nature of the clock, where 12 and 1 are adjacent. By leveraging this continuity, we find that 12 + 1 = 13 and 11 + 2 = 13. Combining these pairs gives one fragment: 11, 12, 1, and 2 (sum = 26). The remaining numbers can then be grouped into two additional fragments: 3, 4, 9, and 10 (sum = 26), and the remaining numbers 5, 6, 7, and 8 (sum = 26).

Valid Answers: [[11, 12, 1, 2], [3, 4, 9, 10], [5, 6, 7, 8]]",green_book,2026-05-03 19:56:08.862229+00,"Start by calculating the total sum of all numbers on the clock face. Since the clock is circular, consider how pairs of numbers (like 12 and 1) might simplify the grouping process. Think about how you can leverage the clock's continuity to form fragments with equal sums."
